"X1","Report ID","Report Type","Arrest Date","Time","Area ID","Area Name","Reporting District","Age","Sex Code","Descent Code","Charge Group Code","Charge Group Description","Arrest Type Code","Charge","Charge Description","Disposition Description","Address","Cross Street","LAT","LON","Location","Booking Date","Booking Time","Booking Location","Booking Location Code","week","date","month"
33,5941635,"BOOKING","05/28/2020 12:00:00 AM","1240","12","77th Street","1256",23,"M","H","16","Narcotic Drug Laws","F","11360(A)HS","TRANSPORT/SELL/FURNISH/ETC MARIJUANA","849(B)(1) PC/TECHNICAL ARREST","600 W  FLORENCE                     AV",NA,33.9747,-118.2838,"POINT (-118.2838 33.9747)","05/28/2020 12:00:00 AM","1439","77TH ST",4212,22,2020-05-28,5
35,5940565,"BOOKING","05/27/2020 12:00:00 AM","0700","12","77th Street","1273",20,"F","H","11","Receive Stolen Property","F","496(A)PC","RECEIVING KNOWN STOLEN PROPERTY >$950","849(B)(1) PC/TECHNICAL ARREST","1800 W  88TH                         ST",NA,33.9582,-118.309,"POINT (-118.309 33.9582)","05/27/2020 12:00:00 AM","0911","77TH ST",4212,22,2020-05-27,5
36,5938704,"BOOKING","05/24/2020 12:00:00 AM","0745","14","Pacific","1494",25,"M","B","16","Narcotic Drug Laws","F","11360(A)HS","TRANSPORT/SELL/FURNISH/ETC MARIJUANA","849(B)(1) PC/TECHNICAL ARREST","400    WORLD WAY",NA,33.9433,-118.4072,"POINT (-118.4072 33.9433)","05/24/2020 12:00:00 AM","0940","PACIFIC",4214,21,2020-05-24,5
38,5947144,"BOOKING","06/02/2020 12:00:00 AM","1445","12","77th Street","1245",23,"M","B","04","Aggravated Assault","F","245(A)(2)PC","ADW W/FIREARM","MISDEMEANOR COMPLAINT FILED","7100 S  VERMONT                      AV",NA,33.9808,-118.2917,"POINT (-118.2917 33.9808)","06/02/2020 12:00:00 AM","1745","77TH ST",4212,23,2020-06-02,6
40,5937989,"BOOKING","05/23/2020 12:00:00 AM","0345","06","Hollywood","0663",26,"F","W","04","Aggravated Assault","F","273.5(A)PC","CORPORAL INJURY ON SPOUSE/COHABITANT/ETC","CITY ATTORNEY REJECT","HIGHLAND                     AV","FOUNTAIN                     AV",34.0944,-118.3386,"POINT (-118.3386 34.0944)","05/23/2020 12:00:00 AM","0446","HOLLYWOOD",4206,21,2020-05-23,5
41,5948013,"BOOKING","06/03/2020 12:00:00 AM","2030","19","Mission","1962",26,"M","H","24","Miscellaneous Other Violations","F","594(A)(1)PC","DEFACE PROPERTY","FELONY COMPLAINT FILED","XEMONA                       AV","NORDOFF                      ST",34.2434,-118.4611,"POINT (-118.4611 34.2434)","06/03/2020 12:00:00 AM","2254","VALLEY - JAIL DIV",4279,23,2020-06-03,6
44,5946415,"BOOKING","06/01/2020 12:00:00 AM","2005","19","Mission","1983",34,"M","H","08","Other Assaults","F","422(A)PC","TERRORIZE CAUSING FEAR","FELONY COMPLAINT FILED","8300    COLUMBUS                     AV",NA,34.2214,-118.4655,"POINT (-118.4655 34.2214)","06/01/2020 12:00:00 AM","2314","VALLEY - JAIL DIV",4279,23,2020-06-01,6
45,5940686,"BOOKING","05/27/2020 12:00:00 AM","1000","14","Pacific","1494",57,"M","B","16","Narcotic Drug Laws","F","11360(A)HS","TRANSPORT/SELL/FURNISH/ETC MARIJUANA","849(B)(1) PC/TECHNICAL ARREST","400    WORLDWAY",NA,33.942,-118.4095,"POINT (-118.4095 33.942)","05/27/2020 12:00:00 AM","1325","PACIFIC",4214,22,2020-05-27,5
46,5945908,"BOOKING","06/01/2020 12:00:00 AM","0345","06","Hollywood","0668",30,"M","H","05","Burglary","F","463(A)PC","2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC","FELONY COMPLAINT FILED","WILTON                       PL","VIRGINIA",34.0918,-118.3136,"POINT (-118.3136 34.0918)","06/01/2020 12:00:00 AM","0710","HOLLYWOOD",4206,23,2020-06-01,6
47,5939294,"BOOKING","05/25/2020 12:00:00 AM","1030","06","Hollywood","0646",21,"F","B","04","Aggravated Assault","F","245(A)(1)PC","ADW, NOT FIREARM, W/GBI","CITY ATTORNEY REJECT","6400    SUNSET                       BL",NA,34.0987,-118.3337,"POINT (-118.3337 34.0987)","05/25/2020 12:00:00 AM","1135","HOLLYWOOD",4206,22,2020-05-25,5
48,5945598,"BOOKING","05/31/2020 12:00:00 AM","1920","01","Central","0153",32,"M","H","24","Miscellaneous Other Violations","F","594(A)(1)PC","DEFACE PROPERTY","849(B)(1) PC/TECHNICAL ARREST","600 S  HILL                         ST",NA,34.0474,-118.2531,"POINT (-118.2531 34.0474)","05/31/2020 12:00:00 AM","2314","METRO - JAIL DIVISION",4273,22,2020-05-31,5
49,5945795,"BOOKING","06/01/2020 12:00:00 AM","0130","14","Pacific","1444",21,"M","B","05","Burglary","F","463(A)PC","2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC","FELONY COMPLAINT FILED","WASHINGTON                   BL","LINCOLN                      BL",33.9908,-118.4472,"POINT (-118.4472 33.9908)","06/01/2020 12:00:00 AM","0304","PACIFIC",4214,23,2020-06-01,6
52,5938555,"BOOKING","05/23/2020 12:00:00 AM","2230","18","Southeast","1849",34,"M","B","12","Weapon (carry/poss)","F","29800(A)1PC","POSS F/ARM BY CONVICTED FELON/ADDICT/ETC","DISTRICT ATTORNEY REJECT","111TH                        ST","CROESUS",33.9343,-118.2335,"POINT (-118.2335 33.9343)","05/24/2020 12:00:00 AM","0142","77TH ST",4212,21,2020-05-23,5
54,5938966,"BOOKING","05/24/2020 12:00:00 AM","1645","07","Wilshire","0701",38,"M","H","03","Robbery","F","211PC","ROBBERY","849(B)(1) PC/TECHNICAL ARREST","3800    WILLOUGHBY                   AV",NA,34.0872,-118.3675,"POINT (-118.3675 34.0872)","05/24/2020 12:00:00 AM","2112","METRO - JAIL DIVISION",4273,21,2020-05-24,5
57,5940180,"BOOKING","05/26/2020 12:00:00 AM","1645","06","Hollywood","0669",29,"M","H","04","Aggravated Assault","F","245(A)(1)PC","ADW, NOT FIREARM, W/GBI","MISDEMEANOR COMPLAINT FILED","SANTA MONICA","FLEMMINGS                    LN",34.0929,-118.3048,"POINT (-118.3048 34.0929)","05/26/2020 12:00:00 AM","1850","HOLLYWOOD",4206,22,2020-05-26,5
59,5768796,"BOOKING","05/30/2020 12:00:00 AM","2100","07","Wilshire","0743",18,"M","B","05","Burglary","F","463(A)PC","2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC","849(B)(1) PC/TECHNICAL ARREST","LA BREA","SAN VICENTE",34.0592,-118.3575,"POINT (-118.3575 34.0592)","05/31/2020 12:00:00 AM","0603","77TH ST",4212,22,2020-05-30,5
60,5947547,"BOOKING","06/02/2020 12:00:00 AM","2300","15","N Hollywood","1523",35,"M","W","08","Other Assaults","F","422(A)PC","TERRORIZE CAUSING FEAR","DISTRICT ATTORNEY REJECT","6300    COLDWATER CA                 AV",NA,34.1849,-118.4095,"POINT (-118.4095 34.1849)","06/03/2020 12:00:00 AM","0150","VALLEY - JAIL DIV",4279,23,2020-06-02,6
61,5938818,"BOOKING","05/24/2020 12:00:00 AM","1250","15","N Hollywood","1505",28,"M","H","04","Aggravated Assault","F","273.5(A)PC","CORPORAL INJURY ON SPOUSE/COHABITANT/ETC","OTHER (REQUIRES ADDITION ACTION)","7200    LEMP                         AV",NA,34.2012,-118.3845,"POINT (-118.3845 34.2012)","05/24/2020 12:00:00 AM","1531","VALLEY - JAIL DIV",4279,21,2020-05-24,5
62,5939815,"BOOKING","05/26/2020 12:00:00 AM","0200","03","Southwest","0394",54,"M","B","16","Narcotic Drug Laws","F","11351.5HS","POSS/PURCHASE COCAINE BASE FOR SALE","849(B)(1) PC/TECHNICAL ARREST","ARLINGTON                    ST","43RD                         RD",34.0055,-118.3182,"POINT (-118.3182 34.0055)","05/26/2020 12:00:00 AM","0543","77TH ST",4212,22,2020-05-26,5
64,5944778,"BOOKING","05/28/2020 12:00:00 AM","2100","10","West Valley","1011",29,"M","H","12","Weapon (carry/poss)","F","29800(A)1PC","POSS F/ARM BY CONVICTED FELON/ADDICT/ETC","DISTRICT ATTORNEY REJECT","ARIEL","WYANDOTTE                    ST",34.203,-118.5455,"POINT (-118.5455 34.203)","05/29/2020 12:00:00 AM","0001","VALLEY - JAIL DIV",4279,22,2020-05-28,5
65,5945100,"BOOKING","05/30/2020 12:00:00 AM","2120","20","Olympic","2034",44,"F","B","05","Burglary","F","463(A)PC","2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC","849(B)(1) PC/TECHNICAL ARREST","3500    WILSHIRE                     BL",NA,34.0618,-118.3004,"POINT (-118.3004 34.0618)","05/31/2020 12:00:00 AM","0209","77TH ST",4212,22,2020-05-30,5
67,5938698,"BOOKING","05/24/2020 12:00:00 AM","0730","14","Pacific","1494",27,"M","B","16","Narcotic Drug Laws","F","11360(A)HS","TRANSPORT/SELL/FURNISH/ETC MARIJUANA","849(B)(1) PC/TECHNICAL ARREST","100    WORLD WAY",NA,33.9451,-118.4029,"POINT (-118.4029 33.9451)","05/24/2020 12:00:00 AM","0911","PACIFIC",4214,21,2020-05-24,5
69,5939749,"BOOKING","05/25/2020 12:00:00 AM","2310","11","Northeast","1102",44,"M","H","24","Miscellaneous Other Violations","F","451(D)PC","ARSON OF PROPERTY","849(B)(1) PC/TECHNICAL ARREST","LOS FELIZ","REVERE",34.126,-118.2638,"POINT (-118.2638 34.126)","05/26/2020 12:00:00 AM","0224","METRO - JAIL DIVISION",4273,22,2020-05-25,5
70,5948631,"BOOKING","06/04/2020 12:00:00 AM","1240","06","Hollywood","0644",30,"M","H","05","Burglary","F","463(A)PC","2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC","CITY ATTORNEY REJECT","7500 N  SUNSET                       BL",NA,34.098,-118.3533,"POINT (-118.3533 34.098)","06/04/2020 12:00:00 AM","1514","HOLLYWOOD",4206,23,2020-06-04,6
71,5948689,"BOOKING","06/04/2020 12:00:00 AM","1300","19","Mission","1941",23,"M","H","03","Robbery","F","211PC","ROBBERY","FELONY COMPLAINT FILED","SEPULVEDA                    BL","CHATSWORTH",34.2646,-118.4673,"POINT (-118.4673 34.2646)","06/04/2020 12:00:00 AM","1740","VALLEY - JAIL DIV",4279,23,2020-06-04,6
72,5938138,"BOOKING","05/23/2020 12:00:00 AM","0850","03","Southwest","0329",25,"M","W","07","Vehicle Theft","F","10851(A)VC","TAKE VEHICLE W/O OWNER'S CONSENT","DISTRICT ATTORNEY REJECT","28TH","FLOWER",34.0266,-118.277,"POINT (-118.277 34.0266)","05/23/2020 12:00:00 AM","1228","77TH ST",4212,21,2020-05-23,5
73,5949458,"BOOKING","06/05/2020 12:00:00 AM","2020","13","Newton","1323",36,"M","H","07","Vehicle Theft","F","487(D)(1)PC","GRAND THEFT AUTO/HORSE/ETC","849(B)(1) PC/TECHNICAL ARREST","25TH                         ST","GRIFFITH",34.0216,-118.2569,"POINT (-118.2569 34.0216)","06/06/2020 12:00:00 AM","0014","77TH ST",4212,23,2020-06-05,6
74,5939556,"BOOKING","05/25/2020 12:00:00 AM","1900","07","Wilshire","0775",33,"M","H","04","Aggravated Assault","F","273.5(A)PC","CORPORAL INJURY ON SPOUSE/COHABITANT/ETC","OTHER (REQUIRES ADDITION ACTION)","4600 W  17TH                         ST",NA,34.0441,-118.3382,"POINT (-118.3382 34.0441)","05/25/2020 12:00:00 AM","2106","METRO - JAIL DIVISION",4273,22,2020-05-25,5
75,5945340,"BOOKING","05/31/2020 12:00:00 AM","0900","01","Central","0147",18,"M","B","03","Robbery","F","211PC","ROBBERY","FELONY COMPLAINT FILED","5TH","SAN PEDRO",34.0444,-118.2443,"POINT (-118.2443 34.0444)","05/31/2020 12:00:00 AM","1221","METRO - JAIL DIVISION",4273,22,2020-05-31,5
77,5940386,"BOOKING","05/26/2020 12:00:00 AM","1955","06","Hollywood","0639",20,"M","B","08","Other Assaults","F","422(A)PC","TERRORIZE CAUSING FEAR","CITY ATTORNEY REJECT","5100    HOLLYWOOD                    BL",NA,34.1036,-118.3049,"POINT (-118.3049 34.1036)","05/27/2020 12:00:00 AM","0103","METRO - JAIL DIVISION",4273,22,2020-05-26,5
81,5938131,"BOOKING","05/23/2020 12:00:00 AM","1050","14","Pacific","1494",43,"M","B","16","Narcotic Drug Laws","F","11360(A)HS","TRANSPORT/SELL/FURNISH/ETC MARIJUANA","849(B)(1) PC/TECHNICAL ARREST","400    WORLD WAY",NA,33.9433,-118.4072,"POINT (-118.4072 33.9433)","05/23/2020 12:00:00 AM","1210","PACIFIC",4214,21,2020-05-23,5
82,5939190,"BOOKING","05/25/2020 12:00:00 AM","0300","05","Harbor","0501",51,"M","H","07","Vehicle Theft","F","487(D)(1)PC","GRAND THEFT AUTO/HORSE/ETC","FELONY COMPLAINT FILED","1600    MOLINA                       LN",NA,33.8627,-118.3077,"POINT (-118.3077 33.8627)","05/25/2020 12:00:00 AM","0442","HARBOR",4205,22,2020-05-25,5
87,5941418,"BOOKING","05/28/2020 12:00:00 AM","0450","05","Harbor","0513",27,"F","H","03","Robbery","F","215(A)PC","CARJACKING","FELONY COMPLAINT FILED","1400 W  PACIFIC COAST                HY",NA,33.7907,-118.2827,"POINT (-118.2827 33.7907)","05/28/2020 12:00:00 AM","0734","HARBOR",4205,22,2020-05-28,5
90,5939436,"BOOKING","05/25/2020 12:00:00 AM","1410","12","77th Street","1218",32,"F","H","03","Robbery","F","211PC","ROBBERY","DISTRICT ATTORNEY REJECT","FLOWER                       ST","52ND                         ST",33.9923,-118.287,"POINT (-118.287 33.9923)","05/25/2020 12:00:00 AM","1725","77TH ST",4212,22,2020-05-25,5
96,5768802,"BOOKING","05/31/2020 12:00:00 AM","0400","02","Rampart","0285",26,"M","B","05","Burglary","F","459PC","BURGLARY","FELONY COMPLAINT FILED","1200 S  UNION                        AV",NA,34.0472,-118.2782,"POINT (-118.2782 34.0472)","05/31/2020 12:00:00 AM","0657","METRO - JAIL DIVISION",4273,22,2020-05-31,5
98,5938086,"BOOKING","05/23/2020 12:00:00 AM","0830","05","Harbor","0522",27,"M","H","07","Vehicle Theft","F","10851(A)VC","TAKE VEHICLE W/O OWNER'S CONSENT","849(B)(1) PC/TECHNICAL ARREST","F STREET","MCDONALD",33.7766,-118.2713,"POINT (-118.2713 33.7766)","05/23/2020 12:00:00 AM","1004","HARBOR",4205,21,2020-05-23,5
99,5945940,"BOOKING","06/01/2020 12:00:00 AM","0725","13","Newton","1333",52,"M","H","04","Aggravated Assault","F","273.5(A)PC","CORPORAL INJURY ON SPOUSE/COHABITANT/ETC","849(B)(1) PC/TECHNICAL ARREST","29TH                         ST","SAN PEDRO",34.0191,-118.2629,"POINT (-118.2629 34.0191)","06/01/2020 12:00:00 AM","0930","77TH ST",4212,23,2020-06-01,6
100,5943426,"BOOKING","05/29/2020 12:00:00 AM","1235","14","Pacific","1494",32,"M","H","16","Narcotic Drug Laws","F","11360(A)HS","TRANSPORT/SELL/FURNISH/ETC MARIJUANA","849(B)(1) PC/TECHNICAL ARREST","100    WORLD WAY",NA,33.9451,-118.4029,"POINT (-118.4029 33.9451)","05/29/2020 12:00:00 AM","1359","PACIFIC",4214,22,2020-05-29,5
101,5938037,"BOOKING","05/23/2020 12:00:00 AM","0530","12","77th Street","1259",14,"F","H",NA,NA,"D","300(D)WIC",NA,"DEPARTMENT OF SOCIAL SERVICES","600 E  79TH                         ST",NA,33.9711,-118.2629,"POINT (-118.2629 33.9711)","05/23/2020 12:00:00 AM","0659","77TH ST",4212,21,2020-05-23,5
102,5949042,"BOOKING","06/04/2020 12:00:00 AM","2340","05","Harbor","0515",29,"M","W","16","Narcotic Drug Laws","F","11378HS","POSSESSION CONTROLLED SUBSTANCE FOR SALE","FELONY COMPLAINT FILED","LOMITA","BAY VIEW",33.7988,-118.271,"POINT (-118.271 33.7988)","06/05/2020 12:00:00 AM","0414","HARBOR",4205,23,2020-06-04,6
103,5938773,"BOOKING","05/24/2020 12:00:00 AM","1245","14","Pacific","1494",39,"M","B","16","Narcotic Drug Laws","F","11360(A)HS","TRANSPORT/SELL/FURNISH/ETC MARIJUANA","849(B)(1) PC/TECHNICAL ARREST","400    WORLD WAY",NA,33.9433,-118.4072,"POINT (-118.4072 33.9433)","05/24/2020 12:00:00 AM","1326","PACIFIC",4214,21,2020-05-24,5
104,5939237,"BOOKING","05/25/2020 12:00:00 AM","0720","14","Pacific","1494",26,"M","B","16","Narcotic Drug Laws","F","11360(A)HS","TRANSPORT/SELL/FURNISH/ETC MARIJUANA","849(B)(1) PC/TECHNICAL ARREST","100    WORLD WAY                    WY",NA,33.942,-118.4095,"POINT (-118.4095 33.942)","05/25/2020 12:00:00 AM","0824","PACIFIC",4214,22,2020-05-25,5
105,5938967,"BOOKING","05/24/2020 12:00:00 AM","1645","07","Wilshire","0701",34,"M","H","03","Robbery","F","211PC","ROBBERY","849(B)(1) PC/TECHNICAL ARREST","3800    WILLOUGHBY                   AV",NA,34.0872,-118.3675,"POINT (-118.3675 34.0872)","05/24/2020 12:00:00 AM","2112","METRO - JAIL DIVISION",4273,21,2020-05-24,5
106,5943678,"BOOKING","05/29/2020 12:00:00 AM","1415","14","Pacific","1409",29,"F","H","16","Narcotic Drug Laws","F","11366HS","MAINTAIN PLACE TO SELL CONTROLLED SUBS","849(B)(1) PC/TECHNICAL ARREST","9600    VENICE",NA,34.0249,-118.3959,"POINT (-118.3959 34.0249)","05/29/2020 12:00:00 AM","1639","PACIFIC",4214,22,2020-05-29,5
107,5949074,"BOOKING","06/05/2020 12:00:00 AM","0250","13","Newton","1385",33,"M","B","05","Burglary","F","459PC","BURGLARY","FELONY COMPLAINT FILED","66TH                         AV","AVALON                       BL",33.9857,-118.2628,"POINT (-118.2628 33.9857)","06/05/2020 12:00:00 AM","0504","77TH ST",4212,23,2020-06-05,6
108,201009622,"RFC","06/02/2020 12:00:00 AM","1630","10","West Valley","1061",34,"M","W","16","Narcotic Drug Laws","M","11550(A)HS","UNDER INFLUENCE CNTL SUB","CITY ATTORNEY REJECT","19600 W  VENTURA                      BL",NA,34.1728,-118.56,"POINT (-118.56 34.1728)",NA,NA,NA,NA,23,2020-06-02,6
109,5938755,"BOOKING","05/24/2020 12:00:00 AM","0855","14","Pacific","1494",28,"M","B","16","Narcotic Drug Laws","F","11360(A)HS","TRANSPORT/SELL/FURNISH/ETC MARIJUANA","849(B)(1) PC/TECHNICAL ARREST","400    WORLD WAY",NA,33.9433,-118.4072,"POINT (-118.4072 33.9433)","05/24/2020 12:00:00 AM","1240","PACIFIC",4214,21,2020-05-24,5
110,5945905,"BOOKING","06/01/2020 12:00:00 AM","0300","06","Hollywood","0669",39,"M","H","05","Burglary","F","463(A)PC","2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC","FELONY COMPLAINT FILED","SANTA MONICA","101 FWY",34.0929,-118.3048,"POINT (-118.3048 34.0929)","06/01/2020 12:00:00 AM","0656","HOLLYWOOD",4206,23,2020-06-01,6
111,5950251,"BOOKING","06/06/2020 12:00:00 AM","2300","10","West Valley","1099",40,"M","W","04","Aggravated Assault","F","245(A)(2)PC","ADW W/FIREARM","DISTRICT ATTORNEY REJECT","4100 N  SEPULVEDA                    BL",NA,34.1454,-118.4728,"POINT (-118.4728 34.1454)","06/07/2020 12:00:00 AM","0146","VALLEY - JAIL DIV",4279,23,2020-06-06,6
